date,T2M,T2M_MAX,T2M_MIN,RH2M,PRECIPITATION,WS2M,WS2M_MAX,WS2M_MIN,WD2M,GWETTOP,GWETROOT,GWETPROF
2014-08-03,25.11,29.93,21.58,83.51,14.89,0.41,0.69,0.24,250.8,0.51,0.33,0.32
2014-08-04,27.07,33.85,21.59,70.18,2.86,0.37,0.71,0.09,256.3,0.44,0.33,0.32
2014-08-05,26.19,30.94,22.13,74.55,3.77,0.42,0.69,0.18,236.3,0.41,0.33,0.32
2014-08-06,25.95,31.3,22.28,72.88,2.08,0.45,0.76,0.17,234.1,0.41,0.32,0.32
2014-08-07,27.12,33.76,21.59,66.33,3.16,0.42,0.63,0.3,238.2,0.38,0.32,0.32
2014-08-08,26.94,33.5,21.64,70.29,4.55,0.45,0.79,0.15,239.8,0.39,0.32,0.32
2014-08-09,24.82,29.05,22.22,78.23,3.95,0.49,0.76,0.17,234.8,0.42,0.32,0.32
2014-08-10,27.1,34.14,20.71,66.55,1.81,0.33,0.46,0.18,264.7,0.39,0.32,0.33
2014-08-11,28.04,34.3,22.85,63.84,2.11,0.41,0.62,0.15,290.0,0.36,0.31,0.32
2014-08-12,25.3,28.77,22.74,79.47,4.39,0.51,0.77,0.32,258.6,0.4,0.31,0.32
2014-08-13,26.41,32.91,21.26,69.22,1.07,0.42,0.63,0.2,249.8,0.39,0.31,0.33
2014-08-14,26.66,33.33,21.26,69.09,1.44,0.34,0.54,0.1,275.6,0.35,0.31,0.32
2014-08-15,25.22,29.66,22.38,81.17,19.95,0.28,0.43,0.13,35.7,0.49,0.32,0.33
2014-08-16,25.05,29.98,20.92,79.64,13.44,0.32,0.53,0.18,160.2,0.57,0.36,0.35
2014-08-17,26.37,31.77,21.31,74.44,6.61,0.21,0.53,0.11,76.9,0.49,0.36,0.35
2014-08-18,26.4,32.89,22.2,71.96,4.85,0.2,0.43,0.13,349.6,0.48,0.36,0.35
2014-08-19,27.16,34.84,20.81,69.02,4.9,0.19,0.3,0.06,143.6,0.45,0.35,0.35
2014-08-20,27.05,33.8,21.67,69.1,8.15,0.25,0.37,0.17,175.7,0.48,0.35,0.35
2014-08-21,26.13,32.1,20.97,75.53,12.88,0.27,0.48,0.07,253.0,0.53,0.36,0.36
2014-08-22,24.27,27.95,21.39,85.39,21.78,0.19,0.29,0.07,338.8,0.62,0.38,0.37
2014-08-23,24.82,30.78,20.86,79.94,6.25,0.29,0.49,0.09,184.1,0.53,0.4,0.38
2014-08-24,26.26,33.41,20.05,72.22,0.71,0.26,0.6,0.1,345.8,0.45,0.39,0.38
2014-08-25,28.22,36.26,21.4,64.64,1.23,0.33,0.49,0.17,259.6,0.41,0.37,0.38
2014-08-26,27.21,33.1,23.25,70.38,1.24,0.34,0.59,0.16,165.0,0.41,0.36,0.38
